segment,customers,avg_recency,avg_frequency,avg_monetary,total_revenue,revenue_share_%,customer_share_%
Potential Loyalist,26121,145.80751119788675,1.0,159.47883963094827,4165746.77,27.0,28.0
Loyal,16439,291.50915505809354,1.1072449662388224,217.00270697731005,3567307.5,23.1,17.6
Other,19653,267.58403297206536,1.005139164504147,116.6651824148985,2292820.83,14.9,21.1
Champions,6494,91.11718509393286,1.18032029565753,312.09079149984603,2026717.6,13.1,7.0
At Risk,13339,394.7120473798636,1.0063722917759952,114.77152335257516,1530937.35,9.9,14.3
New Customers,7477,91.20877357228835,1.0,163.47630199277785,1222312.31,7.9,8.0
Lost,3827,474.0804807943559,1.0,160.76312777632612,615240.49,4.0,4.1
